tconst;primaryTitle;title;frenchTitle;startYear;genres;production_countries;runtimeMinutes;revenue;tagline;overview;id;averageRating;numVotes;actor;actress;director;producer;writer
tt0057933;The Chalk Garden;The Chalk Garden;Mystère sur la falaise;1964;Drama, Mystery;GB,US;106;0.0;Hayley The Hell Raiser!;A grandmother seeks a governess for her 16 year old granddaughter, Laurel, who manages to drive away each and every one so far by exposing their past, with a record of three in one week! When an applicant with a mysterious past manages to get the job, Laurel vows to expose her. Meanwhile, Laurel's married-divorced-married mother tries to get her back.;66022;7.2;2791;Felix Aylmer, John Mills, Toke Townley;Deborah Kerr, Edith Evans, Elizabeth Sellars, Hayley Mills, Lally Bowers, Tonie MacMillan;Ronald Neame;Ross Hunter;Enid Bagnold, John Michael Hayes
tt0057967;The Sucker;The Sucker;Le Corniaud;1965;Comedy, Adventure, Crime;ES,FR,IT;111;0.0;The funniest fraud a fall-guy ever fell for!;"In this Frenco-Italian gangster parody, a shop keeper on his way to an Italian holiday suffers a crash which totals his car. The culprit can only compensate his ruined trip by driving an American friends car from Napels to Bordeaux, but as it happens to be filled with such contraband as stolen money, jewelry and drugs, the involuntary and unwitting companions in crime soon attract all but recreational attention from the ""milieu"".";25866;7.3;8516;Bourvil, Henri Génès, Henri Virlojeux, Jack Ary, Jacques Eyser, Jean Meyer, Jean-Marie Bon, Lando Buzzanca, Louis de Funès, Venantino Venantini;;Gérard Oury;Robert Dorfmann;André Tabet, Georges Tabet, Gérard Oury
tt0057993;Castle of Blood;Castle of Blood;Danse Macabre;1964;Horror;FR,IT;87;0.0;The living and the dead change places in an orgy of terror!;A writer accepts a wager that he cannot spend the night alone in a haunted castle on All Soul's Eve. Once night falls at the castle, several who had been murdered therein return to life, reliving their deaths and seeking to kill the writer for his blood in a vain attempt to stay alive beyond that one night.;28532;6.8;3121;Arturo Dominici, Benito Stefanelli, Georges Rivière, Giovanni Cianfriglia, Jhonny Walters, Silvano Tranquilli, Umberto Raho;Barbara Steele, Margrete Robsahm, Sylvia Sorrente;Antonio Margheriti;Franco Belotti, Giovanni Addessi, Walter Zarghetta;Bruno Corbucci, Edgar Allan Poe, Giovanni Grimaldi
tt0058003;Red Desert;Red Desert;Le désert rouge;1964;Drama;FR,IT;117;0.0;This is the story of a woman… Her hidden thirsts and hungers…;Amid the modern wastelands and toxic factories of Italy, wife and mother Giuliana desperately tries to conceal her tenuous grip on reality from those around her, especially her successful yet neglectful husband, Ugo. Ugo's old pal, Corrado, shows up in town on a business trip and is more sensitive to Giuliana's anxieties. They begin an affair, but it does little to quell Giuliana's existential fears, and her mental state rapidly deteriorates.;26638;7.4;18537;Aldo Grotti, Bruno Borghi, Carlo Chionetti, Richard Harris, Valerio Bartoleschi;Emanuela Pala Carboni, Lili Rheims, Monica Vitti, Rita Renoir, Xenia Valderi;Michelangelo Antonioni;Tonino Cervi;Michelangelo Antonioni, Tonino Guerra
tt0058073;The Evil of Frankenstein;The Evil of Frankenstein;L'Empreinte de Frankenstein;1964;ScienceFiction, Horror;GB;84;0.0;He's never been more shocking! shocking! shocking!;Once hounded from his castle by outraged villagers for creating a monstrous living being, Baron Frankenstein returns to Karlstaad. High in the mountains they stumble on the body of the creature, perfectly preserved in the ice. He is brought back to life with the help of the hypnotist Zoltan who now controls the creature. Can Frankenstein break Zoltan's hypnotic spell that incites the monster to commit these horrific murders or will Zoltan induce the creature to destroy its creator?;3124;6.0;4906;Anthony Blackshaw, David Conville, David Hutcheson, Duncan Lamont, Howard Goorney, James Maxwell, Peter Cushing, Peter Woodthorpe, Sandor Elès;Katy Wild;Freddie Francis;Anthony Hinds;Anthony Hinds
tt0058089;Fantomas;Fantomas;Fantômas;1964;Comedy, Adventure, Crime;FR,IT;104;0.0;;Fantômas is a man of many disguises. He uses maquillage as a weapon. He can impersonate anyone using an array of masks and can create endless confusion by constantly changing his appearance.;1871;6.9;12898;Christian Toma, Jacques Dynam, Jean Marais, Louis de Funès, Michel Duplaix, Robert Dalban;Andrée Tainsy, Anne-Marie Peysson, Marie-Hélène Arnaud, Mylène Demongeot;André Hunebelle;Alberto Pugliese, Cyril Grize, Luciano Ercoli;Jean Halain, Marcel Allain, Pierre Foucaud, Pierre Souvestre
tt0058100;First Men in the Moon;First Men in the Moon;Les Premiers Hommes dans la Lune;1964;Adventure, ScienceFiction, Sci-Fi;GB;103;1650000.0;H.G. Wells' Astounding Adventure in Dynamation!;The world is delighted when a spacecraft containing a crew made up of the world's astronauts lands on the moon, but are shocked when the astronauts discover an old British flag and a document declaring that the moon is taken for Queen Victoria proving that the astronauts were not the first men on the moon.;34276;6.5;6744;Edward Judd, Erik Chitty, Hugh McDermott, Lionel Jeffries, Miles Malleson, Norman Bird, Paul Carpenter;Betty McDowall, Gladys Henson, Martha Hyer;Nathan Juran;Charles H. Schneer;H.G. Wells, Jan Read, Nigel Kneale
tt0058123;Joy House;Joy House;Ni saints ni saufs;1964;Romance, Thriller, Drama, Crime;FR;97;0.0;"The Women of the ""Joy House"" Allowed Him Every Freedom...Except the Freedom to Leave!";A small-time con man on the run from the gangster-husband of his girlfriend hides out in a strange, brooding mansion run by two mysterious women, where he finds himself trapped in deception between the two women.;38421;7.0;3269;Alain Delon, André Oumansky, Arthur Howard, Carl Studer, George Gaynes, Sorrell Booke;Annette Poivre, Berett Arcaya, Jane Fonda, Lola Albright;René Clément;Jacques Bar;Charles Williams, Day Keene, Pascal Jardin, René Clément
tt0058135;The Gendarme of Saint-Tropez;Le Gendarme de Saint-Tropez;Le Gendarme de Saint-Tropez;1964;Comedy, Crime;FR;90;0.0;;The ambitious police officer Cruchot is transferred to St. Tropez. He's struggling with crimes such as persistent nude swimming, but even more with his teenage daughter, who's trying to impress her rich friends by telling them her father was a millionaire and owned a yacht in the harbor.;4727;7.1;14583;Christian Marin, Guy Grosso, Jean Lefebvre, Louis de Funès, Michel Galabru, Michel Modo, Patrice Laffont;Geneviève Grad, Michelle Wargnier, Nicole Vervil;Jean Girault;Gérard Beytout, René Pignières;Jacques Vilfrid, Jean Girault, Richard Balducci
tt0058142;Girl with Green Eyes;Girl with Green Eyes;La fille aux yeux verts;1964;Romance, Drama;GB;91;0.0;;Catholic-Irish farm girl Kate, along with her gregarious best friend Baba, moves to Dublin to pursue a more exciting life.;64811;6.9;1592;Arthur O'Sullivan, Julian Glover, Pat Laffan, Peter Finch, T.P. McKenna;Eileen Crowe, Liselotte Goettinger, Lynn Redgrave, Marie Kean, Rita Tushingham;Desmond Davis;Oscar Lewenstein;Edna O'Brien
tt0058150;Goldfinger;Goldfinger;Goldfinger;1964;Thriller, Adventure, Action;GB;110;124881062.0;Everything he touches turns into excitement!;Special agent 007 comes face to face with one of the most notorious villains of all time, and now he must outwit and outgun the powerful tycoon to prevent him from cashing in on a devious scheme to raid Fort Knox -- and obliterate the world's economy.;658;7.7;209181;Austin Willis, Bernard Lee, Cec Linder, Gert Fröbe, Harold Sakata, Martin Benson, Sean Connery;Honor Blackman, Shirley Eaton, Tania Mallet;Guy Hamilton;Albert R. Broccoli, Harry Saltzman;Paul Dehn, Richard Maibaum
