frenchTitle;genres;averageRating;numVotes;decade
La beauté du diable;Comedy, Drama, Fantasy;7.3;1934;1950
La rose noire;Romance, Adventure, War, History;6.2;2575;1950
La lampe bleue;Thriller, Drama, Crime;6.8;2744;1950
La fille aux papillons;Drama, Crime, Mystery;6.9;1085;1950
Les enfants terribles;Drama;6.9;4482;1950
La Renarde;Romance, Drama;6.9;1633;1950
Cette sacrée jeunesse;Comedy;7.2;1998;1950
Journal d'un curé de campagne;Drama;7.7;13195;1950
Vacances sur ordonnance;Comedy, Romance, Drama;7.3;2248;1950
Madeleine;Drama, Crime, Mystery;6.9;2216;1950
Les forbans de la nuit;Thriller, Film-Noir, Crime, Sport, Drama;7.8;15965;1950
Les trafiquants du Dunbar;Drama, Crime;7.1;1332;1950
The Rocking Horse Winner;Fantasy, Drama;7.2;1495;1940
La ronde;Romance, Drama, Comedy;7.5;6231;1950
Ultimatum;Thriller, Drama;7.0;2306;1950
Si Paris l'avait su;Romance, Drama, Mystery;7.1;2630;1950
Le grand alibi;Thriller, Film-Noir, Mystery;7.0;17140;1950
L'ile au trésor;Adventure, Drama, Family;6.9;10081;1950
La femme en question;Drama, Crime, Mystery;6.8;1239;1950
Le cheval de bois;Drama, War, History;6.9;1686;1950
African Queen;Romance, Adventure, Drama;7.7;86787;1950
L'ombre d'un homme;Drama;8.0;5671;1950
Capitaine sans peur;Adventure, Action, War, Drama, History;7.3;7943;1950
Casque d'Or;Romance, Drama, Crime;7.6;6448;1950
L'enquête est close;Romance, Drama, Mystery;6.5;1138;1950
Pleure, ô pays bien-aimé;Drama;6.9;1050;1950
I'll Never Forget You;Fantasy, Romance, Drama;7.0;1118;1950
Croix en Bois, Croix en Fer;Drama, War, History;8.0;13728;1950
Rires au paradis;Comedy;7.1;2177;1950
La boîte magique;Drama, History, Biography;7.0;1464;1950
Le voyage fantastique;Thriller, Drama;7.1;4747;1950
Pandora;Fantasy, Romance, Drama, Mystery;6.9;5028;1950
Le Petit Monde de don Camillo;Comedy;7.6;5048;1950
Paul Braconnier;Comedy, Crime;7.4;1749;1950
Le Rôdeur;Thriller, Drama, Film-Noir;7.1;4807;1950
Le fleuve;Romance, Drama;7.4;7155;1950
Scrooge;Fantasy, Drama, Family;8.1;27524;1950
Les contes d'Hoffmann;Fantasy, Musical, Romance, Music;7.1;4295;1950
Jezebel;Thriller, Film-Noir, Drama, Crime;6.8;3794;1950
Le mur du son;Romance, Adventure, Drama, War;6.7;2509;1950
Le carrosse d'or;Comedy, Romance, Drama, History;7.0;3610;1950
Fanfan la Tulipe;Comedy, Adventure, Romance, War;7.1;3589;1950
The Holly and the Ivy;Drama;7.2;2211;1950
Il importe d'être constant;Comedy, Romance, Drama;7.4;6664;1950
