tconst;id;frenchTitle;primaryTitle;averageRating;runtimeMinutes;genres;startYear;overview;directors;acteurs;poster_path;video;frenchOverview
tt5533370;457232;Lamborghini: L'Homme Derrière la Légende;Lamborghini: The Man Behind the Legend;5.5;97;History, Drama, Biography, Sport;2022;Follow the launch of Lamborghini’s career as a manufacturer of tractors, a creator of military vehicles during World War II, and the designer of Lamborghini cars, which he launched in 1963 as the high-end sports car company Automobili Lamborghini.;Bobby Moresco;Frank Grillo, Mira Sorvino, Gabriel Byrne;https://image.tmdb.org/t/p/original//q9Nv1O8sSHvkHmonHfzaSpX3CzU.jpg;Non disponible;Suivez le lancement de la carrière de Lamborghini en tant que fabricant de tracteurs, un créateur de véhicules militaires pendant la Seconde Guerre mondiale, et le concepteur de voitures Lamborghini, qu’il a lancé en 1963 en tant que voiture de sport haut de gamme : Automobili Lamborghini.
tt5534434;472338;Victor Crowley;Victor Crowley;5.5;83;Horror, Comedy, Action;2017;Ten years ago, over forty people were brutally torn to pieces in Louisiana’s Honey Island Swamp. Over the past decade, lone survivor Andrew’s claims that local legend Victor Crowley was responsible for the horrific massacre have been met with great controversy. But when a twist of fate puts him back at the scene of the tragedy, Crowley is mistakenly resurrected and Andrew must face the bloodthirsty ghost from his past.;Adam Green;Parry Shen, Kane Hodder, Laura Ortiz;https://image.tmdb.org/t/p/original//lcZtqUStEvS9y0bFZrO80oIUhJk.jpg;Non disponible;Dix ans après les événements du film original, Victor Crowley est par erreur ressuscité et continue à tuer encore une fois.
tt5535276;523607;Maestro;Maestro;6.5;129;History, Drama, Biography, Music;2023;A portrait of Leonard Bernstein's singular charisma and passion for music as he rose to fame as America's first native born, world-renowned conductor, all along following his ambition to compose both symphonic and popular Broadway works.;Bradley Cooper;Carey Mulligan, Bradley Cooper, Matt Bomer;https://image.tmdb.org/t/p/original//f42JXWpgktbNJ9YM2spoMMso5vd.jpg;https://www.youtube.com/watch?v=sxhyx8WAzP8;Cette histoire d'amour et de courage retrace la relation longue et complexe entre la légende de la musique Leonard Bernstein et Felicia Montealegre Cohn Bernstein.
tt5536610;458342;Private Life;Private Life;7.2;123;Drama, Comedy;2018;Richard and Rachel, a couple in the throes of infertility, try to maintain their marriage as they descend deeper and deeper into the insular world of assisted reproduction and domestic adoption.;Tamara Jenkins;Kathryn Hahn, Paul Giamatti, Gabrielle Reid;https://image.tmdb.org/t/p/original//ljym9jQlw1HypwZxlfsjuWcjQV8.jpg;https://www.youtube.com/watch?v=vw-1SepyD-0;Rachel et Richard tentent d'avoir un enfant. Après avoir essayé plusieurs traitements pour la fertilité et envisagé l'adoption, les possibilités de concevoir un enfant vont s'élargir quand ils rencontrent Sadie...
tt5536736;396398;The Meyerowitz Stories (New and Selected);The Meyerowitz Stories;6.9;112;Drama, Comedy;2017;An estranged family gathers together in New York for an event celebrating the artistic work of their father.;Noah Baumbach;Adam Sandler, Grace Van Patten, Dustin Hoffman;https://image.tmdb.org/t/p/original//bFFuZF3wuAwuvjyW3BDIj1wHstC.jpg;Non disponible;Une famille new-yorkaise se réunit en vue de la rétrospective du patriarche de la famille : l'artiste Harold.
tt5537002;466420;Killers of the Flower Moon;Killers of the Flower Moon;7.6;206;Crime, History, Drama, Thriller;2023;When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one—until the FBI steps in to unravel the mystery.;Martin Scorsese;Leonardo DiCaprio, Robert De Niro, Lily Gladstone;https://image.tmdb.org/t/p/original//t51ReMWxWcAOqKrGKw29OK2WhNz.jpg;https://www.youtube.com/watch?v=GhEAWbIAQRY;Au début du XXe siècle, le pétrole a apporté la fortune au peuple osage qui, du jour au lendemain, est devenu l’un des plus riches du monde. La richesse de ces Amérindiens attire aussitôt la convoitise de Blancs peu recommandables qui intriguent, soutirent et volent autant d’argent osage que possible avant de recourir au meurtre…
tt5537140;443205;The Red Maple Leaf;The Red Maple Leaf;5.6;132;Crime, Mystery, Drama;2016;A detective, who is deeply grieving over the tragic loss of his wife and daughter, becomes determined to find the kidnapped daughter of the U.S. Ambassador, no matter what the cost.;Frank D'Angelo;James Caan, Kris Kristofferson, Martin Landau;https://image.tmdb.org/t/p/original//A9j8RV2Qtz7BzAZ4oGFrvXMLEkM.jpg;Non disponible;Un détective, profondément endeuillé par la perte tragique de sa femme et de sa fille, devient déterminé à retrouver la fille enlevée de l'ambassadeur des États-Unis, quel qu'en soit le prix.
tt5539052;419472;Le roi de la polka;The Polka King;6.0;95;Drama, Comedy, Biography;2017;Local Pennsylvania polka legend Jan Lewan develops a plan to get rich that shocks his fans and lands him in jail.;Maya Forbes;Jack Black, Jenny Slate, Jason Schwartzman;https://image.tmdb.org/t/p/original//wJXC652ZGCnpDSn94kcucdplKYC.jpg;Non disponible;L'ascension et la chute de Jan Lewan, un danseur de polka originaire de Pennsylvanie.
tt5539054;412105;You Get Me;You Get Me;4.7;89;Mystery, Crime, Drama, Thriller, Romance;2017;After arguing with his girlfriend, Ali, Tyler lands in the arms of sexy new girl, Holly. The next morning, he finds that not only does Ali agree to take him back, but Holly is a new student at their school and is dead set on her new man.;Brent Bonacorso;Bella Thorne, Halston Sage, Taylor John Smith;https://image.tmdb.org/t/p/original//5eV0mIQqSztD3McjO22EOFlQDj1.jpg;Non disponible;Après une dispute avec sa petite amie Ali, Tyler se retrouve dans les bras d'une inconnue, Grace. Le lendemain, il apprend qu'Ali est prête à recoller les morceaux tandis que Grace s'avère être une nouvelle élève déterminée à obtenir son homme.
tt5540188;428495;Le Caire Confidentiel;The Nile Hilton Incident;6.8;111;Crime, Mystery, Drama, Thriller;2017;Cairo, 2011. A police officer investigates the murder of a woman in a luxurious hotel in the days leading up to the Egyptian revolution.;Tarik Saleh;Fares Fares, Mari Malek, Yasser Ali Maher;https://image.tmdb.org/t/p/original//gXBwlzEXiapotDdpTtFTQYg1QuX.jpg;Non disponible;Au Caire, quelques semaines avant la révolution de 2011, un inspecteur est chargé d'enquêter sur le meurtre d'une chanteuse. Il réalise rapidement que les coupables pourraient être liés au cercle rapproché du Président.
