tconst;frenchTitle;genres;averageRating;numVotes;actor1;actor2;actor3;decade
tt0018839;Les damnés de l'océan;Romance, Drama, Film-Noir, Crime;7.5;5311;George Bancroft;Betty Compson;Olga Baclanova;1920
tt0019071;Crépuscule de gloire;History, Drama, Romance, War;7.9;4830;Emil Jannings;Evelyn Brent;William Powell;1920
tt0019074;Ris donc, paillasse!;Drama, Romance;7.5;2238;Lon Chaney;Bernard Siegel;Loretta Young;1920
tt0019109;Solitude;Comedy, Drama, Romance;7.7;2796;Barbara Kent;Glenn Tryon;Fay Holderness;1920
tt0019130;L'homme qui rit;Mystery, Drama, Horror;7.6;8719;Mary Philbin;Conrad Veidt;Julius Molnar;1920
tt0019195;La belle ténébreuse;Drama, Adventure, Romance;7.2;1509;Greta Garbo;Conrad Nagel;Gustav von Seyffertitz;1920
tt0019237;Les nouvelles vierges;Drama, Romance;6.7;2119;Joan Crawford;Johnny Mack Brown;Nils Asther;1920
tt0019254;La Passion de Jeanne d'Arc;History, Drama, Biography;8.1;65159;Maria Falconetti;Eugene Silvain;André Berley;1920
tt0019258;C'est une gamine charmante;Comedy, Drama, Romance;7.4;2866;Marion Davies;Orville Caldwell;Marie Dressler;1920
tt0019304;The Racket;Drama, Film-Noir, Crime;6.6;1747;Thomas Meighan;Louis Wolheim;Marie Prevost;1920
tt0019344;Faiblesse humaine;Drama, Romance;7.2;2928;Lionel Barrymore;Blanche Friderici;Charles Lane;1920
tt0019379;Mirages;Comedy, Romance;7.6;4136;Marion Davies;William Haines;Dell Henderson;1920
tt0019400;The Smart Set;Comedy, Sport, Romance;6.3;1087;William Haines;Jack Holt;Alice Day;1920
tt0019412;En vitesse;Comedy, Family, Action;7.6;4592;Harold Lloyd;Ann Christy;Bert Woodruff;1920
tt0019421;Cadet d'eau douce;Drama, Action, Comedy, Family, Romance;7.8;16908;Buster Keaton;Tom McGuire;Ernest Torrence;1920
tt0019429;L'ange de la rue;Drama, Romance;7.3;2706;Janet Gaynor;Charles Farrell;Natalie Kingston;1920
tt0019558;L'homme de fer (2 partie de Symphonie nuptiale);Drama;7.3;1982;Erich von Stroheim;Fay Wray;Zasu Pitts;1920
tt0019563;Le talion;Mystery, Drama, Horror;7.2;2058;Lon Chaney;Lionel Barrymore;Mary Nolan;1920
tt0019574;Ombres blanches;Drama, Romance;6.8;1052;Monte Blue;Raquel Torres;Robert Anderson;1920
tt0019585;Le vent;Western, Thriller, Drama, Romance;8.0;7535;Lillian Gish;Lars Hanson;Montagu Love;1920
tt0019591;Intrigues;Drama;7.1;1814;Greta Garbo;John Gilbert;Lewis Stone;1920
tt0019644;Applause;Romance, Drama, Music, Musical;7.1;1552;Helen Morgan;Joan Peers;Fuller Mellish Jr.;1920
tt0019646;Jazz-Bank;Drama, Romance;7.5;1207;Brigitte Helm;Marie Glory;Pierre Alcover;1920
tt0019702;Chantage;Mystery, Thriller, Drama, Crime;6.9;12903;Anny Ondra;John Longden;Sara Allgood;1920
tt0019735;Capitaine Drummond;Drama, Action, Thriller, Mystery, Crime;6.3;1402;Ronald Colman;Claud Allister;Lawrence Grant;1920
tt0019777;Noix de coco;Comedy, Romance, Music, Musical;6.8;8528;Groucho Marx;Harpo Marx;Chico Marx;1920
tt0019811;Les nuits du désert;Drama, Adventure;6.7;1266;John Gilbert;Ernest Torrence;Mary Nolan;1920
tt0019823;Disraeli;History, Drama, Biography;6.1;1483;George Arliss;Doris Lloyd;David Torrence;1920
tt0019824;La Divine Lady;Romance, Drama, History, War;6.1;1005;Corinne Griffith;Victor Varconi;H.B. Warner;1920
tt0019946;Gabbo le ventriloque;Music, Drama, Romance;6.0;1069;Erich von Stroheim;Donald Douglas;Betty Compson;1920
tt0019959;Halleluyah;Music, Drama, Musical;6.7;2132;Daniel L. Haynes;Nina Mae McKinney;William Fountaine;1920
tt0019976;Far West;Western, Drama, Action, Crime;7.2;1107;Charles Bickford;Raymond Hatton;Fred Kohler;1920
tt0020030;Le masque de fer;Drama, Adventure, Action, History;7.0;1484;Douglas Fairbanks;Belle Bennett;Marguerite De La Motte;1920
tt0020062;Le baiser;Drama, Romance;6.8;1299;Greta Garbo;Conrad Nagel;Anders Randolf;1920
tt0020112;Parade d'amour;Comedy, Romance, Musical;7.0;2763;Maurice Chevalier;Jeanette MacDonald;Lupino Lane;1920
tt0020122;L'isolé;Drama, Romance;7.6;1627;Janet Gaynor;Charles Farrell;Guinn 'Big Boy' Williams;1920
tt0020142;L'homme de l'île de Man;Drama, Romance;6.2;3469;Anny Ondra;Carl Brisson;Malcolm Keen;1920
tt0020143;Marianne;Drama, Music, Musical, Comedy, Romance;6.0;1297;Marion Davies;George Baxter;Lawrence Gray;1920
tt0020247;Jeunes filles modernes;Comedy, Drama;6.2;1002;Joan Crawford;Rod La Rocque;Douglas Fairbanks Jr.;1920
tt0020269;Piccadilly;Drama, Crime;7.1;1951;Gilda Gray;Anna May Wong;Jameson Thomas;1920
tt0020286;La partie de dés;Drama, Adventure, Romance;6.5;1080;Seeta Devi;Himanshu Rai;Charu Roy;1920
tt0020298;La reine Kelly;Drama, Romance;7.1;3429;Gloria Swanson;Walter Byron;Seena Owen;1920
tt0020442;Le figurant;Comedy;6.9;2668;Buster Keaton;Dorothy Sebastian;Edward Earle;1920
tt0020514;L'intruse;Drama, Romance;6.4;1475;Gloria Swanson;Robert Ames;Purnell Pratt;1920
tt0020629;À l'Ouest rien de nouveau;Drama, War;8.1;70096;Lew Ayres;Louis Wolheim;John Wray;1930
tt0020640;Animal crackers, l'explorateur en folie;Comedy, Music, Family, Musical;7.4;15703;Groucho Marx;Harpo Marx;Chico Marx;1930
tt0020641;Anna Christie;Drama, Romance;6.5;3693;Greta Garbo;Charles Bickford;George F. Marion;1930
tt0020668;The Bat Whispers;Drama, Thriller, Horror, Mystery, Crime;6.3;1339;Chester Morris;Una Merkel;William Bakewell;1930
tt0020686;Big House;Thriller, Drama, Crime;7.1;2778;Chester Morris;Wallace Beery;Lewis Stone;1930
tt0020691;La piste des géants;Western, Drama, Adventure, Romance;7.2;4821;John Wayne;Marguerite Churchill;El Brendel;1930
tt0020768;L'intruse;Drama, Romance;7.7;3926;Charles Farrell;Mary Duncan;David Torrence;1930
tt0020793;Un Cottage dans le Dartmoor;Drama, Crime;7.5;1290;Hans Adalbert Schlettow;Uno Henning;Norah Baring;1930
tt0020815;La Patrouille de l'aube;Drama, Action, War;7.1;2130;Richard Barthelmess;Douglas Fairbanks Jr.;Neil Hamilton;1930
tt0020827;La divorcée;Drama, Romance;6.7;3850;Norma Shearer;Robert Montgomery;Chester Morris;1930
tt0020836;Au Seuil de l'Enfer;Drama, Crime;6.5;1426;Lew Ayres;James Cagney;Dorothy Mathews;1930
tt0020876;À la hauteur!;Comedy, Adventure, Family;6.7;1243;Harold Lloyd;Barbara Kent;Robert McWade;1930
tt0020891;The Florodora Girl;Mystery, Romance, Drama, Musical;6.0;1430;Marion Davies;Lawrence Gray;Walter Catlett;1930
tt0020960;Les anges de l'enfer;Drama, Action, War;7.3;6317;Ben Lyon;James Hall;Jean Harlow;1930
tt0021025;La Féérie du jazz;Animation, Comedy, Music, Musical;6.7;1766;Paul Whiteman;John Boles;Laura La Plante;1930
tt0021040;Femmes de luxe;Drama, Romance;6.7;1764;Barbara Stanwyck;Ralph Graves;Lowell Sherman;1930
tt0021079;Le Petit César;Romance, Drama, Action, Crime;7.2;15122;Edward G. Robinson;Douglas Fairbanks Jr.;Glenda Farrell;1930
tt0021106;Madame Satan;Drama, Music, Musical, Comedy, Romance;6.3;1369;Kay Johnson;Reginald Denny;Lillian Roth;1930
tt0021148;Min and Bill;Comedy, Drama;6.7;1967;Marie Dressler;Wallace Beery;Dorothy Jordan;1930
tt0021153;Monte-Carlo;Comedy, Romance, Music, Musical;6.6;1548;Jeanette MacDonald;Jack Buchanan;Claud Allister;1930
