tconst,primaryTitle,title,frenchTitle,startYear,genres,production_countries,runtimeMinutes,revenue,tagline,overview,id,averageRating,numVotes,actor1,actor2,actor3
tt0015864,The Gold Rush,The Gold Rush,La Ruée vers l'or,1925,"Drama, Adventure, Comedy",US,95,4000000.0,The World's Greatest Laughing Picture!,A gold prospector in Alaska struggles to survive the elements and win the heart of a dance hall girl.,962,8.1,124184,Charles Chaplin,Mack Swain,Tom Murray
tt0015881,Greed,Greed,Les rapaces,1924,"Crime, Drama, Western, Thriller",US,140,274827.0,The Film of Films,"A lottery win of $5,000 forever changes the lives of a miner turned dentist and his wife.",1405,8.0,11249,Gibson Gowland,Zasu Pitts,Jean Hersholt
tt0016029,The Little Colonel,The Little Colonel,Le petit colonel,1935,"Comedy, Musical, Music, Family",US,81,0.0,She Has Won An Unconditional Surrender From Every Heart!,"After Southern belle Elizabeth Lloyd runs off to marry Yankee Jack Sherman, her father, a former Confederate colonel during the Civil War, vows to never speak to her again. Several years pass and Elizabeth returns to her home town with her husband and young daughter. The little girl charms her crusty grandfather and tries to patch things up between him and her mother.",29879,7.0,1986,Shirley Temple,Lionel Barrymore,Evelyn Venable
tt0016104,The Merry Widow,The Merry Widow,La veuve joyeuse,1925,"Drama, Romance",US,137,0.0,"The gloriously intoxicating love story of the Merry Widow and her Prince Charming, is revealed at last in a picture production which will take your breath away!","When Prince Danilo falls in love with American dancer Sally O'Hara, his uncle, King Nikita I of Monteblanco, forbids him to marry her because Sally is a commoner. Thinking she has been jilted by her prince, Sally marries wealthy Baron Sadoja. When the elderly man dies suddenly, Sally must be wooed all over again by Danilo.",53230,7.2,2684,Mae Murray,John Gilbert,Roy D'Arcy
tt0016220,The Phantom of the Opera,The Phantom of the Opera,Le Fantôme de l'opéra,1925,"Drama, Horror, Music",US,93,0.0,The greatest horror film of modern cinema!,"A grotesquely disfigured composer known as ""The Phantom"" haunts Paris' opera house, where he's secretly grooming Christine Daae to be an opera diva. Luring her to his remote underground lair, The Phantom declares his love. But Christine loves Raoul de Chagny and plans to elope with him. When The Phantom learns this, he abducts Christine.",964,7.5,21224,Lon Chaney,Mary Philbin,Norman Kerry
tt0016473,The Unholy Three,The Unholy Three,Le club des 3,1925,"Crime, Drama, Romance",US,86,704000.0,"A Mystery Thriller of a Giant, a Ventriloquist and a Dwarf","Three sideshow performers form a conspiracy known as ""The Unholy Three"" - a ventriloquist, midget, and strongman working together to commit a series of robberies.",27505,7.1,2408,Lon Chaney,Mae Busch,Matt Moore
tt0016630,Battling Butler,Battling Butler,Le Dernier Round,1926,"Comedy, Sport, Romance",US,77,0.0,Gloves seemed to hit him from all sides!,A meek millionaire masquerades as a boxing star to win a girl's heart.,51371,7.0,4201,Buster Keaton,Snitz Edwards,Sally O'Neil
tt0016641,Ben-Hur: A Tale of the Christ,Ben-Hur: A Tale of the Christ,Ben-Hur,1925,"Drama, Adventure, Action, Romance","IT,US",143,9000000.0,Amazing! Thrilling! Colossal! Mighty!,"Erstwhile childhood friends, Judah Ben-Hur and Messala meet again as adults, this time with Roman officer Messala as conqueror and Judah as a wealthy, though conquered, Israelite. A slip of a brick during a Roman parade causes Judah to be sent off as a galley slave, his property confiscated and his mother and sister imprisoned. Years later, as a result of his determination to stay alive and his willingness to aid his Roman master, Judah returns to his homeland an exalted and wealthy Roman athlete. Unable to find his mother and sister, and believing them dead, he can think of nothing else than revenge against Messala.",31510,7.8,8190,Ramon Novarro,Francis X. Bushman,May McAvoy
tt0016654,The Black Pirate,The Black Pirate,Le pirate noir,1926,"Drama, Adventure, Action",US,88,0.0,The Love Story of a Bold Buccaneer,"A nobleman vows to avenge the death of his father by the hands of pirates. To this end, he infiltrates the pirate band; Acting in character, he single-handedly captures a merchant vessel, but things are complicated when he finds that there is a beautiful young woman of royal blood aboard.",50075,7.0,2265,Douglas Fairbanks,Billie Dove,Tempe Pigott
tt0016669,La Bohème,La Bohème,La Bohème,1926,"Drama, Romance",US,95,0.0,,"It is 1830 in Paris and the rent is due, but the money is not there. An article here, a painting there and a monkey with a cup gives them enough money for the rent, but not for food. Fortunately, Musette from downstairs has enough food for everyone including Mimi - the poor little waif from next door who Rodolphe has met. But Count Paul also has his lusting eye on Mimi and uses her embroidery to get close to her. Rodolphe and Mimi fall in love and Mimi works endlessly to support Rodolphe who is writing his play with a new found passion. He does not know that he has been discharged from writing for 'Dog and Cat Fanciers'. Mimi wants to get his play produced and Count Paul offers to help, but there is a terrible fight when Rodolphe thinks that Mimi is faithless to him with Count Paul. After the fight, he seeks out a doctor as she is sick, but she has left when Rodolphe returns and will stay away until his play is finished.",110253,7.2,1739,Lillian Gish,John Gilbert,Renée Adorée
tt0016884,Flesh and the Devil,Flesh and the Devil,La chair et le diable,1926,"Drama, Romance",US,112,658000.0,Passion ran like wine in their blood!,"When lifelong best friends Leo and Ulrich return home after completing their military training, Leo meets the stunning Felicitas at a railway station and is mesmerized by her beauty. A scandal follows, for which Leo is sent away. Returning home three years later, he discovers that much has changed.",38687,7.6,4809,John Gilbert,Greta Garbo,Lars Hanson
tt0017075,The Lodger: A Story of the London Fog,The Lodger: A Story of the London Fog,Les cheveux d'or,1927,"Crime, Mystery, Drama, Thriller",GB,92,0.0,,"London. A mysterious serial killer brutally murders young blond women by stalking them in the night fog. One foggy, sinister night, a young man who claims his name is Jonathan Drew arrives at the guest house run by the Bunting family and rents a room.",2760,7.3,14336,June Tripp,Ivor Novello,Marie Ault
tt0017350,The Scarlet Letter,The Scarlet Letter,La lettre écarlate,1926,Drama,US,115,0.0,,"In Puritan Boston, seamstress Hester Prynne and kindly Reverend Arthur Dimmesdale fall in love. After Dimmesdale must go away for a time to England, he returns to discover that Hester has given birth to their child and is the focus of local censure.",85638,7.6,2078,Lillian Gish,Lars Hanson,Henry B. Walthall
tt0017423,Sparrows,Sparrows,Les moineaux,1926,Drama,US,109,966878.0,"Here is life's song of love, beating with laughs and sobs, its melody in tune with your own heartstrings.","Molly, the eldest child of a group of orphans being used as slaves on a farm hidden deep in a swamp, must rescue the others when their cruel master decides that one of them will be disposed of.",73575,7.3,1599,Mary Pickford,Roy Stewart,Mary Louise Miller
tt0017463,3 Bad Men,3 Bad Men,Trois sublimes canailles,1926,"Drama, Western, Romance",US,122,0.0,The romance of a girl in the land of promise.,Three outlaws come to the aid of a young girl after her father is killed.,32716,7.5,1612,George O'Brien,Olive Borden,Lou Tellegen
tt0017739,The Cat and the Canary,The Cat and the Canary,La volonté du mort,1927,"Mystery, Comedy, Horror",US,108,325550.0,THE MYSTERY THRILLER OF THE STAGE FILMED WITH NEW EFFECTS,"Rich old Cyrus West's relatives are waiting for him to die so they can inherit. But he stipulates that his will be read 20 years after his death. On the appointed day his expectant heirs arrive at his brooding mansion. The will is read and it turns out that Annabelle West, the only heir with his name left, inherits, if she is deemed sane. If she isn't, the money and some diamonds go to someone else, whose name is in a sealed envelope. Before he can reveal the identity of her successor to Annabelle, Mr. Crosby, the lawyer, disappears. The first in a series of mysterious events, some of which point to Annabelle in fact being unstable.",76804,7.0,3626,Laura La Plante,Creighton Hale,Forrest Stanley
tt0017925,The General,The General,Le Mécano de la 'Général',1926,"Adventure, Action, Comedy, War",US,78,1000000.0,"Buster drives ""The General"" to trainload of laughter.","During America’s Civil War, Union spies steal engineer Johnnie Gray's beloved locomotive, 'The General'—with Johnnie's lady love aboard an attached boxcar—and he single-handedly must do all in his power to both get The General back and to rescue Annabelle.",961,8.1,102942,Buster Keaton,Marion Mack,Glen Cavender
tt0018033,It,It,Le coup de foudre,1927,"Drama, Comedy, Romance",US,72,0.0,A salesgirl with plenty of 'it' pursues a handsome playboy.,"A flapper shopgirl woos her rich boss with animal magnetism, otherwise known as ""it.""",82283,7.2,3820,Clara Bow,Antonio Moreno,William Austin
tt0018051,The Kid Brother,The Kid Brother,Le petit frère,1927,"Western, Family, Drama, Comedy, Action",US,82,0.0,"""The Freshman"" is down on the farm! And there's a real plot with bashful love-making and everything!","The most important family in Hickoryville is (not surprisingly) the Hickorys, with sheriff Jim and his tough manly sons Leo and Olin. The timid youngest son, Harold, doesn't have the muscles to match up to them, so he has to use his wits to win the respect of his strong father and also the love of beautiful Mary.",16661,7.6,5061,Harold Lloyd,Jobyna Ralston,Walter James
tt0018054,The King of Kings,The King of Kings,Le roi des rois,1927,"History, Drama, Family, Biography",US,160,0.0,Supreme in Theme! Gigantic in Execution!,"The King of Kings is the Greatest Story Ever Told as only Cecil B. DeMille could tell it. In 1927, working with one of the biggest budgets in Hollywood history, DeMille spun the life and Passion of Christ into a silent-era blockbuster. Featuring text drawn directly from the Bible, a cast of thousands, and the great showman’s singular cinematic bag of tricks, The King of Kings is at once spectacular and deeply reverent—part Gospel, part Technicolor epic.",49633,7.3,2557,H.B. Warner,Dorothy Cumming,Ernest Torrence
tt0018379,7th Heaven,7th Heaven,L'Heure suprême !,1927,"Drama, Romance",US,110,0.0,,A dejected Parisian sewer worker feels his prayers have been answered when he falls in love with a street waif.,82474,7.5,4447,Janet Gaynor,Charles Farrell,Ben Bard
tt0018451,The Student Prince in Old Heidelberg,The Student Prince in Old Heidelberg,Le prince étudiant,1927,"Drama, Romance",US,106,0.0,"Watch your own first timid flight of young love unfold before your eyes in this sweet-scented romance. Hear the ""Student Prince"" music.",A young prince falls in love with a beautiful barmaid while at university in old Heidelberg.,85876,7.5,1755,Ramon Novarro,Norma Shearer,Jean Hersholt
tt0018455,Sunrise,Sunrise: A Song of Two Humans,L'aurore,1927,"Drama, Romance",US,94,0.0,"""An artistic masterpiece and also a joy to watch.""","A married farmer falls under the spell of a slatternly woman from the city, who tries to convince him to drown his wife.",631,8.1,55494,George O'Brien,Janet Gaynor,Margaret Livingston
tt0018471,Tell It to the Marines,Tell It to the Marines,Marine d'abord!,1926,"Drama, Comedy, Action, Romance",US,103,1250000.0,,"U.S. Marine Sergeant O'Hara has his hands full training raw recruits, one of whom, 'Skeets' Burns, is a particular thorn in his side. If Burns's lackadaisical approach to the military were not bad enough, he also makes advances on nurse Nora Dale, whom Sergeant O'Hara secretly loves. Nora is oblivious to O'Hara's feelings and is attracted to the handsome 'Skeet.' But an indiscretion turns her against him, and it takes an expedition to China and a battle with a warlord's bandit brigade to sort things out among the nurse and her two Marines.",111305,7.1,1693,Lon Chaney,William Haines,Eleanor Boardman
tt0018526,Underworld,Underworld,Les nuits de Chicago,1927,"Crime, Drama, Film-Noir, Romance",US,80,0.0,'Nobody helps me -- I help them!',"Boisterous gangster kingpin Bull Weed rehabilitates his former lawyer from his alcoholic haze, but complications arise when he falls for Weed's girlfriend.",42565,7.5,3704,George Bancroft,Clive Brook,Evelyn Brent
tt0018528,The Unknown,The Unknown,L'inconnu,1927,"Drama, Horror, Thriller, Romance",US,68,0.0,Don't miss this startling spectacle!,A criminal on the run hides in a circus and seeks to possess the daughter of the ringmaster at any cost.,27503,7.7,9847,Lon Chaney,Norman Kerry,Joan Crawford
tt0018578,Wings,Wings,Les ailes,1927,"Drama, Action, War, Romance",US,144,3600000.0,"Youth, hitting the clouds! Laughing at danger! Fighting, loving, dodging death! That's ""WINGS""","Two young men, one rich, one middle class, both in love with the same woman, become US Air Corps fighter pilots and, eventually, heroic flying aces during World War I. Devoted best friends, their mutual love of the girl eventually threatens their bond. Meanwhile, a hometown girl who's the lovestruck lifelong next door neighbor of one of them, pines away.",28966,7.5,15473,Clara Bow,Charles 'Buddy' Rogers,Richard Arlen
tt0018742,The Cameraman,The Cameraman,L'opérateur,1928,"Drama, Comedy, Romance, Family",US,76,0.0,You'll laugh yourself completely out of focus!,A photographer takes up newsreel shooting to impress a secretary.,31411,8.0,13921,Buster Keaton,Marceline Day,Harold Goodwin
tt0018770,The Fall of the House of Usher,The Fall of the House of Usher,La chute de la maison Usher,1928,"Drama, Fantasy, Horror",FR,72,0.0,,"A stranger called Allan goes to the House of Usher. He is the sole friend of Roderick Usher, who lives in the eerie house with his sick wife Madeleine. When she dies, Roderick does not accept her death, and in the dark night, Madeleine returns.",28189,7.2,4820,Jean Debucourt,Marguerite Gance,Charles Lamy
tt0018773,The Circus,The Circus,Le Cirque,1928,"Comedy, Romance, Family",US,72,0.0,The Circus is Here!,"Charlie, a wandering tramp, becomes a circus handyman - soon the star of the show - and falls in love with the circus owner's stepdaughter.",28978,8.1,37453,Charles Chaplin,Merna Kennedy,Al Ernest Garcia
tt0018806,The Crowd,The Crowd,La foule,1928,"Drama, Romance",US,98,0.0,,"John, an ambitious but undisciplined New York City office worker, meets and marries Mary. They start a family, struggle to cope with marital stress, financial setbacks, and tragedy, all while lost amid the anonymous, pitiless throngs of the big city.",3061,8.0,9690,Eleanor Boardman,James Murray,Bert Roach
tt0018839,The Docks of New York,The Docks of New York,Les damnés de l'océan,1928,"Crime, Drama, Film-Noir, Romance",US,76,0.0,,A blue-collar worker on New York's depressed waterfront finds his life changed after he saves a woman attempting suicide.,885,7.5,5314,George Bancroft,Betty Compson,Olga Baclanova
tt0019071,The Last Command,The Last Command,Crépuscule de gloire,1928,"History, Drama, War, Romance",US,88,0.0,,A former Imperial Russian general and cousin of the Czar ends up in Hollywood as an extra in a movie directed by a former revolutionary.,52679,7.9,4832,Emil Jannings,Evelyn Brent,William Powell
tt0019074,"Laugh, Clown, Laugh","Laugh, Clown, Laugh","Ris donc, paillasse!",1928,"Drama, Romance",US,73,0.0,What did he hide behind his painted smile?,"A despairing clown suffering a broken heart and a self-indulgent count who uncontrollably laughs learn to help each other with their problems, but both fall in love with the same young woman.",27507,7.5,2238,Lon Chaney,Bernard Siegel,Loretta Young
tt0019109,Lonesome,Lonesome,Solitude,1928,"Drama, Comedy, Romance",US,69,0.0,With all the glamor and glitter of Coney Island that millions everywhere are always eager to see,"Two lonely people in the big city meet and enjoy the thrills of an amusement park, only to lose each other in the crowd after spending a great day together. Will they ever see each other again?",101482,7.7,2797,Barbara Kent,Glenn Tryon,Fay Holderness
tt0019130,The Man Who Laughs,The Man Who Laughs,L'homme qui rit,1928,"Mystery, Drama, Horror",US,110,0.0,THE BREAKING HEART BEHIND THE LAUGHING FACE.,"Gwynplaine, son of Lord Clancharlie, has a permanent smile carved on his face by the King, in revenge for Gwynplaine's father's treachery. Gwynplaine is adopted by a travelling showman and becomes a popular idol. He falls in love with the blind Dea. The king dies, and his evil jester tries to destroy or corrupt Gwynplaine.",27517,7.6,8722,Mary Philbin,Conrad Veidt,Julius Molnar
tt0019195,The Mysterious Lady,The Mysterious Lady,La belle ténébreuse,1928,"Drama, Adventure, Romance",US,96,551000.0,She made a wonderful companion...a bitter enemy...but what a sweetheart,"A beautiful Russian spy seduces an Austrian military officer in order to obtain secret plans. When she falls in love with him, both are placed in danger.",108923,7.2,1510,Greta Garbo,Conrad Nagel,Gustav von Seyffertitz
tt0019254,The Passion of Joan of Arc,The Passion of Joan of Arc,La Passion de Jeanne d'Arc,1928,"History, Drama, Biography",FR,114,0.0,An Immortal Screen Classic that will live Forever!,"A classic of the silent age, this film tells the story of the doomed but ultimately canonized 15th-century teenage warrior. On trial for claiming she'd spoken to God, Jeanne d'Arc is subjected to inhumane treatment and scare tactics at the hands of church court officials. Initially bullied into changing her story, Jeanne eventually opts for what she sees as the truth. Her punishment, a famously brutal execution, earns her perpetual martyrdom.",780,8.1,65195,Maria Falconetti,Eugene Silvain,André Berley
tt0019258,The Patsy,The Patsy,C'est une gamine charmante,1928,"Drama, Comedy, Romance",US,78,0.0,,"Jealous that her older sister Grace has landed handsome and successful Tony Anderson, Patricia Harrington launches an elaborate charm offensive to win his heart. Patricia shrugs off her diffidence and, in the hope that Tony will be drawn to her new persona, tries to carry herself with the self-confidence of the era's silent film stars. When this doesn't have the desired effect, Patricia takes things a step further.",53209,7.4,2867,Marion Davies,Orville Caldwell,Marie Dressler
tt0019344,Sadie Thompson,Sadie Thompson,Faiblesse humaine,1928,"Drama, Romance",US,97,7000000.0,"Sadie could storm any barrack she attacked! Magnetism had never been heard of until she hit town! What a woman! You'll say so, too!","A young, beautiful prostitute named Sadie Thompson arrives on the South Pacific island of Pago Pago looking for honest work and falls for Timothy O'Hara, an American sailor who is unfazed by her unsavory past. However, Mr. Davidson, a missionary who arrived on the island at the same time, aims to ""save"" Sadie from her sinful life and petitions to have her separated from her beau and deported back to San Francisco.",42538,7.2,2930,Lionel Barrymore,Blanche Friderici,Charles Lane
tt0019379,Show People,Show People,Mirages,1928,"Comedy, Romance",US,83,0.0,,"Peggy Pepper arrives in Hollywood, from Georgia, to become a great dramatic star. Things do not go entirely according to plan.",31404,7.6,4139,Marion Davies,William Haines,Dell Henderson
tt0019412,Speedy,Speedy,En vitesse,1928,"Comedy, Action, Family",US,85,0.0,You've Waited a Year for This But WOW! What a Hit!,"Speedy loses his job as a soda jerk, then spends the day with his girl at Coney Island. He then becomes a cab driver and delivers Babe Ruth to Yankee Stadium, where he stays to see the game. When the railroad tries to run the last horse-drawn trolley (operated by his girl's grandfather) out of business, Speedy organizes the neighborhood old-timers to thwart their scheme.",22595,7.6,4595,Harold Lloyd,Ann Christy,Bert Woodruff
