tconst;primaryTitle;title;frenchTitle;startYear;genres;production_countries;runtimeMinutes;revenue;tagline;overview;id;averageRating;numVotes;actor1;actor2;actor3
tt11044354;Femalien: Cosmic Crush;Femalien: Cosmic Crush;Femalien: Cosmic Crush;2020;Sci-Fi, ScienceFiction, Fantasy;US;99;0.0;Love the pod.;When an ancient and erotic hunger is awakened in the far reaches of sexy space, the Alterian High Council sends newly ordained Collector Maxy Prime to investigate with her nimble nympho sidekick, Gab-E J'nx. There they discover a mad(ly hot) professor and her students in the psychosexual grips of the Thanagarian Pleasure Pod, a mega-parasite who’s giving everyone good vibrations while slowly and seductively sapping them of their very life essence. Will the Femaliens put an end to this tentacle terror, or will they succumb to the beast’s cosmic crush?;596695;3.7;350;Kira Noir;Jillian Janson;Lilly Fairfield
tt11044858;Nocturne;Nocturne;Nocturne;2020;Drama, Thriller, Horror, Mystery, Music;US;90;0.0;The great reach their potential. The mad surpass it.;Inside the halls of an elite arts academy, a timid music student begins to outshine her more accomplished and outgoing twin sister when she discovers a mysterious notebook belonging to a recently deceased classmate.;643550;5.7;14279;Sydney Sweeney;Madison Iseman;Jacques Colimon
tt11045410;Into the Soul;Into the Soul;Into the Soul;2020;Western, Drama, Romance;US;70;0.0;;A 19th century fur trapper must figure out his past when he awakens all alone in the Rocky Mountains badly hurt and with temporary amnesia.;863835;5.9;21;Ayden Tyler Hatch;McKenna Flory;Jak Karl
tt11045776;Bride of the Werewolf;Bride of the Werewolf;Bride of the Werewolf;2019;Thriller, Horror, Action;US;71;0.0;This Honeymoon is going to be Hell!;After two women are attacked on a desolate road they take refuge at the home of a kind-hearted stranger named Saul who harbors the dark secret of lycanthropy. Can a professor experimenting with the secrets of the Pharaohs cure Saul, or will a battle between the Werewolf and a freshly reanimated Mummy be the end for them all?;636612;2.5;188;Mel Heflin;Jade Michael LaFont;Tony Brown
tt11045932;Life's A Bitch and then One Kills You;Life's A Bitch and then One Kills You;Life's A Bitch and then One Kills You;2019;Comedy, Horror;US;89;0.0;Office Politics. Ritual Human Sacrifice. Cake.;A modern day witch has ninety minutes to satisfy an ancient curse by sacrificing her Tinder date or face a gruesome, painful death. Seems simple enough until her idiot co-workers show up to throw her a surprise birthday party. Now she must find a way to get rid them or face the possibility that everyone must die.;752968;6.1;10;Dana Weddell;Kevin Nelson;Lindsay Plake
tt11045972;Cold Feet;Cold Feet;Cold Feet;2019;Comedy, Horror;US;83;0.0;;At a rented house, Eddie and his best friends unite for his bachelor party. The next day, though, a fight for sanity and survival begins when they discover there are snipers outside the house and a ghost inside, none of whom want the guys to leave.;639596;4.2;144;Adam Burns;Allen C. Gardner;Matthew Gilliam
tt11046384;Le réseau Shelburn;Le réseau Shelburn;Le réseau Shelburn;2019;Drama, War;FR;140;0.0;;;656550;7.4;72;Alexandra Robert;Laurent Chandemerle;Brice Ormain
tt1104684;Blackwater;Blackwater;Blackwater;2007;Horror, Thriller, Adventure, Action;US;88;0.0;;Four young women tourists are hunted by ruthless woodsmen in the Florida Everglades.;32006;3.4;298;Georgia Chris;Amy Simon;McCayne Blomberg
tt1104699;Night Dragon;Night Dragon;Night Dragon;2008;Thriller, Drama, Crime;GB;80;0.0;Love hurts. A lot.;Young lawyer Millie has fallen madly in love with the mysterious Liz, but romance turns to betrayal when Millie, about to prosecute a vicious thug, discovers that the love of her life works for him. To make matters worse, two killers – the dangerously methodical but bookwormish Beckett and the seriously deranged Hansen — appear on the scene to forcibly extract information from Millie. Who she should trust and who is bent on murder are the overriding questions as loyalties are tested, guns are drawn and knives are flashed.;113993;2.8;191;Imogen Church;Annette Kellow;Alan Ford
tt1104733;Hamlet 2;Hamlet 2;Hamlet 2;2008;Comedy, Music;US;92;4886216.0;One high school drama teacher is about to make a huge number 2.;In this irreverent comedy, a failed actor-turned-worse-high-school-drama-teacher rallies his Tucson, AZ students as he conceives and stages politically incorrect musical sequel to Shakespeare's Hamlet.;12621;6.3;17706;Steve Coogan;Elisabeth Shue;Catherine Keener
tt1104814;Coffin Rock;Coffin Rock;Coffin Rock;2009;Thriller, Drama;AU,GB;92;0.0;Be careful what you wish for.;A woman unable to conceive a child with her husband, despite years of trying, makes the drunken mistake of sleeping with a young stranger. The stranger then goes to terrifying lengths to prove his paternity.;28793;5.3;1683;Robert Taylor;Lisa Chappell;Sam Parsonson
tt11050682;Frontier;Frontier;Frontier;2020;Western;US;95;0.0;;Mexican families are being forced off their land by the Saxon's who come to colonize this underpopulated state. Two Mexican families, the Iturraldes and the Villareals, find their peaceful existence shattered when they refuse to sell their ranches to the Mackenzies, an Irish family who will stop at nothing to get what they want. And what they want, lies deep in this extensive and fertile land... oil.;687308;2.7;60;Sandra Guzman;Fernando Madrid;Roque Pantaleon Chavela
tt11051562;The Greatest Gift Ever Given;The Greatest Gift Ever Given;The Greatest Gift Ever Given;2020;Drama, Romance;US;70;0.0;;After Paul Hanson agrees to a last minute business meeting on Christmas Eave, He finds himself constantly overcoming repeated obstacles while trying to make it home in time for the big Christmas Extravaganza.;762718;4.7;38;Heather Bash;Bill Capskas;Kristine Fambrough
tt11051582;Cemetery;Cemetery;Cemetery;2019;Adventure;FR,PL,GB,UZ;85;0.0;;After a devastating earthquake, Nga, an old elephant and probably the last of its species, and Sanra, his mahout, are about to embark on a journey to find the mythical elephant’s graveyard. The group of poachers following them will die one after the other under mysterious circumstances and spells.;287052;6.3;245;Wayne Bamford;Tony Lourds;Warna Sandeeya
tt11051846;The Boonies;The Boonies;The Boonies;2021;Horror;US;97;4535.0;;Campers find themselves in a fight for survival against a clan of cannibals in the Appalachian woods.;807278;2.7;318;Rick Dutrow;Blake O'Donnell;Daniel Johnson
tt11051868;Justified Force;Justified Force;Justified Force;2019;Drama, Action, Crime;US;105;0.0;;A retired cop and his new partner must put their differences aside while investigating a drug ring.;642266;5.5;49;Matt Monaco;Kevin Karrick;Robert Paine
tt11052678;The Silent Twins;The Silent Twins;The Silent Twins;2022;Drama, Biography, Crime;FR,PL,GB,US;113;0.0;Imagination will set you free.;Feeling isolated from that unwelcoming community, June and Jennifer Gibbons turn inward and reject communication with everyone but each other, retreating into their own fantasy world of artistic inspiration and adolescent desires.;812025;5.7;2656;Letitia Wright;Tamara Lawrance;Leah Mondesir-Simmonds
tt1105296;Street Team Massacre;Street Team Massacre;Street Team Massacre;2007;Comedy, Horror, Action;US;80;0.0;A comedy full of blood and guts;Two rival juice companies, Eco-Elixir and Jock Juice, accidentally unleash an experimental formula of energy drink on an unsuspecting group of concert- goers. This formula turns whoever is unfortunate enough to drink it into flesh-eating crazies!;227234;5.7;88;Tim Allen;Diana Arone;Michael Boland
tt11053476;Sound of Violence;Sound of Violence;Sound of Violence;2021;Thriller, Horror, Crime;FI,US;94;0.0;Her Music Kills.;As a child, the brutal murder of her family made Alexis regain her hearing along with synesthetic abilities. Now as an adult, she finds solace in the sounds of bodily harm. But when she’s told she might lose her hearing again, she escalates her gruesome sound experiments in a quest to compose her masterpiece.;766358;4.7;1324;Jasmin Savoy Brown;Lili Simmons;James Jagger
tt1105355;Growing Up Smith;Growing Up Smith;Growing Up Smith;2015;Comedy, Drama, Family;US;102;0.0;It’s better to stand out than to fit in.;"In 1979, an Indian family moves to America with hopes of living the American Dream. While their 10-year-old boy Smith falls head-over-heels for the girl next door, his desire to become a ""good old boy"" propels him further away from his family's ideals than ever before.";426469;6.7;1566;Jason Lee;Anjul Nigam;Brighton Sharbino
tt1105512;The Missing Person;The Missing Person;The Missing Person;2009;Mystery, Thriller, Comedy, Drama;US;95;17896.0;John Rosow is a private investigator. And an alcoholic. He just got the case of his life.;"Private detective John Rosow is hired to tail a man on a train from Chicago to Los Angeles. Rosow gradually uncovers the man's identity as a missing person; one of the thousands presumed dead after the 9/11 terrorist attacks on the World Trade Center. Persuaded by a large reward, Rosow is charged with bringing the missing person back to his wife in New York City.";35219;6.0;1809;Michael Shannon;Frank Wood;Amy Ryan
tt11056028;Brick City;Brick City;Brick City;2019;, Thriller, Drama, Action;US;79;0.0;;A tale of underground gun trafficking in the city of Houston Texas.;731824;7.0;16;Derrick De-Mond;Rawn Jones;Porsche Zeraia
